-945.0	72.0	158.0	
-1135.0	100.0	196.0	
-989.0	89.0	111.0	
-1127.0	114.0	177.0	
-979.0	73.0	145.0	
-1102.0	103.0	155.0	
-1017.0	78.0	123.0	
-1039.0	81.0	120.0	
-1122.0	112.0	175.0	
-1070.0	80.0	135.0	
-1001.0	78.0	115.0	
-1130.0	107.0	181.0	
-1057.0	76.0	142.0	
-1060.0	77.0	126.0	
-1065.0	84.0	133.0	
-1133.0	97.0	189.0	
-1120.0	95.0	172.0	
-1134.0	101.0	194.0	
-1077.0	98.0	145.0	
-1104.0	79.0	169.0	
-1016.0	78.0	122.0	
-1045.0	74.0	162.0	
-997.0	74.0	144.0	
-1131.0	110.0	181.0	
-1044.0	94.0	119.0	
-1044.0	73.0	164.0	
-1085.0	90.0	151.0	
-1099.0	98.0	157.0	
-1084.0	92.0	147.0	
-1135.0	103.0	183.0	
-1118.0	87.0	177.0	
-1135.0	102.0	193.0	
-1091.0	86.0	157.0	
-1105.0	84.0	160.0	
-1125.0	88.0	190.0	
-1114.0	83.0	171.0	
-1071.0	102.0	142.0	
-1130.0	95.0	188.0	
-1084.0	91.0	148.0	
-1113.0	83.0	165.0	
-1053.0	81.0	122.0	
-1128.0	89.0	191.0	
-1101.0	100.0	156.0	
-1112.0	82.0	161.0	
-1063.0	79.0	125.0	
-1001.0	75.0	121.0	
-1082.0	86.0	156.0	
-1117.0	86.0	187.0	
-1121.0	87.0	184.0	
-1115.0	82.0	172.0	
-1072.0	88.0	150.0	
-1131.0	113.0	178.0	
-1088.0	93.0	156.0	
-1080.0	83.0	157.0	
-1070.0	78.0	164.0	
-1063.0	75.0	161.0	
-1125.0	93.0	179.0	
-1107.0	80.0	169.0	
-1110.0	98.0	158.0	
-1082.0	85.0	158.0	
-1074.0	90.0	148.0	
-1123.0	91.0	186.0	
-1109.0	81.0	162.0	
-1055.0	75.0	126.0	
-1132.0	92.0	191.0	
-1116.0	85.0	171.0	
-1122.0	90.0	184.0	
-1075.0	88.0	151.0	
-1125.0	91.0	187.0	
-1077.0	80.0	165.0	
-1064.0	81.0	134.0	
