3 16 14 1 6 15 13 10 12 11 0 5 8 7 2 17 18 4 19 9 | 2 0 -1 0 -1 -1 0 -1 -1 -1 1 2 2 1 0 1 0 -1 -1 -1 | -986.0 81.0 107.0 | 49.0 52.0 48.0 1 1 1 
11 12 16 3 1 2 14 0 4 13 7 10 19 6 15 8 17 18 9 5 | 1 0 1 0 0 -1 -1 2 -1 -1 2 0 0 2 1 -1 0 -1 1 2 | -1135.0 99.0 197.0 | 0.0 0.0 0.0 1 1 1 
14 3 16 6 1 7 8 10 0 13 19 2 5 11 18 9 12 4 17 15 | 2 0 2 0 -1 -1 0 1 1 -1 1 -1 -1 2 0 -1 0 -1 -1 1 | -1018.0 74.0 123.0 | 49.0 25.0 43.0 1 1 1 
5 14 13 15 11 1 6 17 18 8 10 2 19 7 16 4 9 12 3 0 | -1 1 2 -1 -1 0 1 -1 2 -1 2 0 -1 0 0 0 -1 1 1 2 | -1079.0 105.0 144.0 | 47.0 1.0 8.0 1 1 1 
11 12 16 3 1 9 15 19 6 2 7 13 4 0 10 17 18 14 8 5 | -1 0 2 0 -1 -1 1 2 -1 0 -1 0 0 2 -1 1 0 1 2 1 | -1133.0 89.0 201.0 | 2.0 0.0 0.0 1 1 1 
14 11 16 1 3 15 13 10 5 9 0 4 7 6 19 8 2 12 17 18 | 2 0 -1 0 -1 2 -1 -1 -1 2 1 0 -1 1 0 1 0 -1 -1 -1 | -980.0 74.0 110.0 | 52.0 52.0 51.0 1 1 1 
14 3 16 6 1 7 8 0 19 13 10 2 5 11 18 9 12 4 17 15 | 1 0 2 0 -1 -1 0 1 1 -1 2 -1 -1 2 0 -1 0 -1 2 1 | -1071.0 86.0 144.0 | 49.0 15.0 0.0 1 1 1 
1 15 16 11 6 7 8 2 13 14 10 5 0 3 18 4 17 19 9 12 | -1 0 1 -1 -1 2 0 1 1 -1 1 0 -1 2 2 0 0 -1 -1 -1 | -1070.0 81.0 134.0 | 45.0 1.0 19.0 1 1 1 
13 14 15 5 11 1 6 0 4 16 8 10 2 7 19 18 9 3 17 12 | 1 1 -1 -1 2 0 1 -1 2 -1 -1 0 -1 0 0 0 2 -1 -1 -1 | -998.0 92.0 107.0 | 47.0 40.0 50.0 1 1 1 
14 16 5 1 6 0 12 4 15 13 11 3 8 10 18 7 19 17 9 2 | 1 0 -1 -1 1 0 0 -1 -1 -1 1 2 1 2 0 2 0 -1 -1 -1 | -1068.0 91.0 132.0 | 41.0 3.0 23.0 1 1 1 
11 3 16 6 1 17 15 4 0 7 8 14 5 10 9 18 12 2 13 19 | 2 0 -1 0 1 -1 0 2 2 1 -1 0 -1 -1 -1 1 0 1 0 2 | -1129.0 95.0 178.0 | 3.0 3.0 0.0 1 1 1 
14 3 16 6 15 5 0 1 11 13 8 19 18 9 17 4 10 7 2 12 | 1 1 -1 0 -1 1 0 -1 2 -1 -1 2 -1 2 0 0 0 -1 -1 -1 | -1008.0 90.0 114.0 | 50.0 42.0 35.0 1 1 1 
