4 11 5 2 0 1 13 19 9 6 7 18 16 10 14 8 15 3 17 12 | 0 1 0 -1 0 0 1 2 -1 1 2 0 -1 0 -1 -1 2 -1 2 1 | -1135.0 108.0 187.0 | 0.0 0.0 0.0 1 1 1 
3 1 16 6 14 15 2 11 10 13 0 18 12 17 19 5 8 7 9 4 | 2 0 1 0 -1 -1 0 -1 -1 -1 2 1 -1 2 0 1 0 -1 -1 -1 | -989.0 71.0 112.0 | 49.0 52.0 45.0 1 1 1 
16 3 1 6 14 15 5 13 12 0 11 10 2 4 8 17 19 9 7 18 | 2 0 -1 0 -1 1 0 -1 -1 -1 -1 2 2 1 0 1 0 -1 -1 -1 | -1001.0 83.0 105.0 | 49.0 37.0 48.0 1 1 1 
16 3 11 1 12 15 7 0 2 4 17 13 9 19 8 18 10 14 6 5 | 1 0 2 0 0 -1 -1 1 -1 -1 -1 0 0 2 -1 1 0 2 2 1 | -1128.0 91.0 201.0 | 0.0 3.0 4.0 1 1 1 
3 1 16 6 14 15 7 13 5 11 9 0 2 8 17 18 19 10 12 4 | -1 0 -1 0 -1 2 0 1 -1 2 -1 2 -1 1 0 1 0 -1 -1 -1 | -987.0 80.0 106.0 | 49.0 52.0 47.0 1 1 1 
15 16 14 6 1 2 5 9 7 8 4 0 3 19 11 12 17 13 18 10 | 2 0 1 -1 1 1 0 2 2 1 -1 -1 -1 -1 0 0 0 -1 -1 2 | -1097.0 99.0 151.0 | 38.0 0.0 0.0 1 1 1 
14 13 0 11 15 8 7 10 1 19 3 17 5 2 9 12 16 18 4 6 | 0 2 -1 2 -1 -1 -1 1 1 -1 1 0 -1 0 0 0 -1 2 -1 1 | -1009.0 91.0 119.0 | 52.0 25.0 49.0 1 1 1 
14 13 0 11 15 8 3 7 1 19 9 16 4 2 18 6 12 5 17 10 | 0 2 -1 1 -1 -1 -1 1 1 2 -1 0 -1 0 0 0 2 -1 -1 1 | -1026.0 89.0 121.0 | 52.0 18.0 39.0 1 1 1 
11 16 6 14 1 15 0 5 3 2 13 9 7 8 19 17 4 10 18 12 | 1 0 2 2 -1 1 0 -1 -1 -1 -1 0 -1 2 0 1 0 -1 -1 -1 | -1004.0 78.0 112.0 | 42.0 43.0 46.0 1 1 1 
3 16 11 1 12 8 5 6 10 13 0 14 15 9 19 7 2 4 17 18 | 2 0 -1 0 -1 1 1 -1 1 0 2 0 0 2 -1 -1 0 -1 -1 -1 | -1040.0 74.0 160.0 | 2.0 48.0 45.0 1 1 1 
11 0 16 1 13 8 15 7 2 17 19 9 6 14 10 3 5 4 12 18 | 0 0 2 -1 -1 -1 -1 1 1 2 2 0 -1 0 -1 1 0 2 0 1 | -1126.0 90.0 192.0 | 1.0 7.0 1.0 1 1 1 
11 10 1 8 16 15 2 3 14 13 0 18 12 17 19 5 6 7 9 4 | 2 0 1 1 -1 -1 -1 -1 0 -1 0 0 -1 2 2 1 0 -1 0 1 | -1086.0 81.0 167.0 | 21.0 4.0 24.0 1 1 1 
1 6 3 8 2 4 15 16 14 13 0 5 11 19 10 7 12 18 17 9 | 2 0 0 0 0 2 0 -1 0 -1 -1 -1 -1 2 1 1 1 -1 -1 -1 | -1070.0 85.0 151.0 | 6.0 29.0 30.0 1 1 1 
1 16 11 3 13 2 8 4 15 7 14 0 18 12 19 17 5 6 10 9 | 2 0 1 0 1 -1 -1 1 1 -1 -1 0 -1 0 2 2 0 -1 0 -1 | -1105.0 82.0 163.0 | 4.0 4.0 22.0 1 1 1 
11 10 1 8 16 15 2 3 14 13 6 4 7 12 19 9 17 0 18 5 | -1 0 1 1 0 -1 2 -1 0 -1 0 0 -1 2 2 1 0 -1 -1 1 | -1114.0 87.0 171.0 | 0.0 4.0 17.0 1 1 1 
16 3 14 6 1 15 0 5 11 2 13 9 7 8 19 17 4 10 12 18 | 1 0 2 0 -1 1 0 -1 -1 -1 -1 2 -1 2 0 1 0 -1 -1 -1 | -1004.0 79.0 108.0 | 49.0 43.0 39.0 1 1 1 
5 11 16 14 0 8 13 3 2 9 10 15 4 1 19 7 18 6 12 17 | 0 -1 2 1 2 0 -1 -1 1 2 2 0 -1 1 0 -1 0 -1 0 1 | -1133.0 96.0 175.0 | 0.0 2.0 0.0 1 1 1 
16 3 11 1 12 15 7 10 9 0 4 13 8 19 5 17 14 6 18 2 | 2 0 -1 0 2 -1 -1 1 -1 0 1 0 0 2 -1 1 0 -1 -1 1 | -1072.0 75.0 174.0 | 2.0 13.0 48.0 1 1 1 
14 11 0 5 16 8 7 10 6 15 1 2 3 12 18 19 17 9 13 4 | 0 2 1 -1 -1 0 2 1 1 -1 1 0 -1 -1 0 2 0 -1 0 -1 | -1117.0 96.0 160.0 | 0.0 1.0 17.0 1 1 1 
3 16 11 1 12 15 7 2 18 0 13 5 17 19 14 8 10 6 9 4 | 2 0 1 0 -1 2 -1 1 -1 -1 -1 0 0 2 -1 1 0 -1 0 1 | -1073.0 76.0 168.0 | 21.0 11.0 30.0 1 1 1 
3 16 11 10 1 9 2 6 14 0 13 5 17 19 12 4 15 18 7 8 | 2 0 1 0 -1 2 1 -1 -1 0 0 0 -1 2 1 -1 0 -1 -1 -1 | -1058.0 78.0 155.0 | 1.0 46.0 30.0 1 1 1 
16 3 1 6 14 2 5 4 0 7 10 11 12 15 9 19 8 17 18 13 | 2 0 1 0 1 1 0 2 -1 1 2 -1 -1 -1 0 -1 0 -1 -1 2 | -1080.0 90.0 147.0 | 49.0 0.0 6.0 1 1 1 
14 11 0 5 16 8 3 13 2 19 18 1 15 4 17 6 10 7 9 12 | 0 2 2 1 -1 0 -1 -1 1 -1 -1 0 -1 1 0 2 0 -1 0 1 | -1101.0 95.0 157.0 | 0.0 2.0 32.0 1 1 1 
16 3 11 1 12 15 7 10 9 0 13 6 2 5 8 19 4 14 18 17 | 2 0 -1 0 -1 -1 2 1 -1 0 1 0 0 2 -1 1 0 -1 -1 1 | -1092.0 77.0 174.0 | 2.0 13.0 28.0 1 1 1 
3 16 11 8 1 19 17 5 4 12 10 13 2 6 0 7 15 18 14 9 | -1 0 2 0 1 1 -1 -1 0 -1 2 0 1 2 -1 -1 0 1 2 0 | -1121.0 89.0 186.0 | 12.0 2.0 0.0 1 1 1 
14 16 11 15 1 8 5 3 10 13 0 6 2 7 9 19 4 12 18 17 | 2 0 -1 1 -1 1 -1 -1 1 -1 2 0 -1 2 0 0 0 -1 -1 1 | -1046.0 79.0 139.0 | 41.0 3.0 45.0 1 1 1 
1 16 14 6 11 2 5 4 0 10 13 3 12 9 19 7 8 17 15 18 | 2 0 1 -1 1 1 0 -1 -1 1 2 0 -1 2 0 -1 0 -1 -1 -1 | -1048.0 81.0 136.0 | 42.0 0.0 45.0 1 1 1 
15 1 16 14 11 2 5 4 0 7 9 8 19 6 17 12 10 3 13 18 | 2 0 1 -1 1 1 -1 2 2 1 -1 0 -1 -1 0 0 0 -1 -1 2 | -1094.0 97.0 149.0 | 41.0 0.0 0.0 1 1 1 
11 14 0 13 1 8 15 7 2 17 19 10 3 5 9 16 6 12 18 4 | 0 0 2 -1 -1 -1 -1 1 1 2 2 0 -1 0 0 1 -1 2 -1 1 | -1076.0 88.0 158.0 | 51.0 7.0 1.0 1 1 1 
1 3 2 5 11 7 17 15 0 16 13 14 19 9 12 18 10 4 6 8 | 1 0 0 0 -1 0 -1 1 -1 -1 -1 0 -1 2 2 1 2 0 -1 1 | -1115.0 89.0 180.0 | 1.0 3.0 16.0 1 1 1 
16 3 14 6 5 4 18 15 9 13 7 10 11 2 8 1 12 17 19 0 | -1 -1 -1 0 1 0 0 2 -1 1 2 -1 1 2 0 1 0 -1 0 2 | -1135.0 98.0 190.0 | 0.0 0.0 0.0 1 1 1 
14 13 0 11 15 8 3 7 1 19 2 16 6 17 9 18 4 5 12 10 | 0 2 2 1 -1 -1 -1 1 1 -1 -1 0 -1 0 0 0 2 -1 -1 1 | -1033.0 87.0 122.0 | 52.0 18.0 32.0 1 1 1 
16 1 11 15 14 8 5 13 3 6 0 18 4 9 12 19 7 17 10 2 | 2 0 -1 2 -1 1 2 -1 1 -1 -1 0 -1 1 0 0 0 -1 -1 -1 | -1008.0 82.0 111.0 | 41.0 49.0 37.0 1 1 1 
1 16 11 14 3 7 17 2 0 5 13 15 19 9 18 6 10 8 12 4 | 1 0 1 0 -1 2 -1 1 -1 -1 -1 0 -1 2 0 2 0 1 -1 -1 | -1060.0 82.0 132.0 | 52.0 1.0 22.0 1 1 1 
3 16 11 8 1 19 17 5 4 12 10 13 15 0 6 14 18 7 2 9 | -1 0 -1 0 1 1 -1 -1 0 -1 2 0 1 2 -1 2 0 1 -1 0 | -1084.0 83.0 162.0 | 12.0 2.0 37.0 1 1 1 
1 16 11 3 12 15 14 10 19 13 4 5 8 0 6 7 2 18 17 9 | -1 0 -1 0 2 2 -1 -1 -1 -1 1 0 0 2 1 1 0 -1 -1 0 | -1026.0 74.0 153.0 | 19.0 47.0 43.0 1 1 1 
11 10 1 8 16 15 2 3 14 13 0 5 4 9 6 7 12 17 19 18 | 2 0 1 1 0 -1 -1 -1 0 -1 0 0 -1 2 2 1 0 -1 -1 1 | -1107.0 84.0 169.0 | 0.0 4.0 24.0 1 1 1 
16 3 11 8 1 19 17 15 9 13 7 2 18 10 6 0 5 4 14 12 | -1 0 2 0 -1 -1 -1 1 0 1 2 0 -1 2 -1 1 0 1 2 0 | -1123.0 88.0 191.0 | 12.0 0.0 0.0 1 1 1 
15 13 0 14 11 19 17 1 3 16 8 5 2 7 4 18 9 10 6 12 | 0 1 -1 1 -1 2 -1 -1 2 -1 -1 0 -1 0 0 0 2 1 -1 1 | -1042.0 93.0 123.0 | 52.0 9.0 32.0 1 1 1 
3 16 11 1 12 15 7 13 5 2 9 0 6 18 17 4 19 14 10 8 | 2 0 2 0 -1 2 -1 1 -1 0 -1 0 0 1 -1 1 0 -1 -1 -1 | -1037.0 74.0 156.0 | 2.0 52.0 44.0 1 1 1 
13 14 0 5 15 8 7 10 6 16 1 2 17 4 18 19 3 9 12 11 | 0 2 1 -1 -1 0 2 1 1 -1 1 -1 -1 0 0 0 2 -1 -1 -1 | -1066.0 94.0 127.0 | 51.0 1.0 17.0 1 1 1 
12 6 11 1 3 15 7 13 5 16 0 2 9 18 19 10 14 17 8 4 | 2 0 -1 0 -1 2 0 1 -1 0 -1 0 0 1 -1 1 2 -1 -1 -1 | -1052.0 76.0 164.0 | 3.0 52.0 28.0 1 1 1 
3 16 11 1 12 15 7 13 5 6 14 0 2 9 18 17 19 10 8 4 | -1 0 -1 0 -1 2 2 1 -1 0 -1 0 0 1 2 1 0 -1 -1 -1 | -1063.0 80.0 151.0 | 2.0 52.0 18.0 1 1 1 
3 16 1 6 14 4 19 8 2 0 13 15 10 11 5 18 9 12 7 17 | 2 0 1 0 1 -1 0 -1 1 -1 -1 -1 -1 2 0 2 0 -1 -1 1 | -1033.0 76.0 124.0 | 49.0 26.0 27.0 1 1 1 
12 6 11 1 3 15 7 13 5 16 0 2 19 8 10 14 18 9 17 4 | 2 0 -1 0 -1 2 0 1 -1 -1 -1 0 0 1 -1 1 2 -1 -1 0 | -1035.0 75.0 154.0 | 20.0 52.0 28.0 1 1 1 
5 16 11 14 1 7 17 2 0 3 13 15 19 9 6 18 4 10 8 12 | 1 0 1 2 -1 0 -1 1 -1 -1 -1 0 -1 2 0 2 0 1 -1 -1 | -1060.0 86.0 131.0 | 44.0 1.0 30.0 1 1 1 
3 1 16 6 14 2 5 4 0 7 9 19 8 18 13 17 15 10 11 12 | 2 0 1 0 1 1 0 2 2 1 -1 -1 -1 -1 0 -1 0 -1 -1 2 | -1086.0 94.0 141.0 | 49.0 0.0 0.0 1 1 1 
1 11 14 6 16 4 19 8 2 0 13 15 3 10 5 7 18 17 9 12 | 2 0 1 -1 1 -1 0 -1 1 -1 -1 0 -1 2 0 2 0 -1 -1 1 | -1040.0 77.0 129.0 | 42.0 26.0 27.0 1 1 1 
