2 4 11 3 5 16 13 18 6 0 10 8 19 7 9 17 14 1 12 15 | 2 -1 0 0 0 0 1 2 2 -1 1 0 -1 1 -1 -1 0 -1 1 2 | -1134.0 105.0 196.0 | 1.0 0.0 0.0 1 1 1 
15 13 5 0 14 16 2 11 3 17 6 9 7 12 10 4 19 1 8 18 | 0 -1 1 2 -1 0 2 -1 -1 -1 -1 1 -1 0 0 0 1 2 -1 -1 | -981.0 92.0 103.0 | 51.0 52.0 51.0 1 1 1 
19 6 1 16 18 3 15 2 7 13 10 0 5 17 12 11 14 9 8 4 | 2 0 1 0 -1 -1 0 1 -1 -1 2 -1 -1 2 -1 1 0 -1 0 0 | -985.0 70.0 142.0 | 39.0 66.0 45.0 1 1 1 
14 6 5 0 15 17 18 1 16 10 7 9 12 8 13 19 11 3 2 4 | 0 1 -1 -1 -1 0 0 2 -1 2 2 -1 2 -1 0 0 1 1 1 -1 | -1085.0 113.0 150.0 | 50.0 0.0 0.0 1 1 1 
12 1 4 14 11 8 15 10 3 17 2 19 7 9 0 5 18 6 16 13 | -1 0 2 1 0 -1 -1 2 1 2 0 0 0 -1 0 1 -1 2 -1 1 | -1130.0 95.0 203.0 | 4.0 0.0 1.0 1 1 1 
19 6 1 16 18 3 15 2 7 13 10 4 0 8 11 5 9 12 17 14 | -1 0 1 0 2 -1 0 1 -1 -1 2 -1 -1 2 -1 1 0 -1 0 0 | -972.0 71.0 139.0 | 39.0 66.0 58.0 1 1 1 
19 6 1 16 18 3 15 2 7 13 14 0 11 17 5 10 9 4 12 8 | 2 0 1 0 -1 -1 0 1 -1 -1 -1 -1 -1 2 2 1 0 -1 0 0 | -1006.0 73.0 137.0 | 39.0 66.0 24.0 1 1 1 
9 5 6 0 11 8 15 10 3 17 2 19 12 4 1 16 7 14 13 18 | 0 -1 2 1 2 0 0 -1 1 0 0 0 2 -1 -1 1 -1 2 -1 1 | -1132.0 97.0 198.0 | 3.0 0.0 0.0 1 1 1 
1 16 6 3 14 7 15 10 19 13 2 8 12 17 5 0 4 18 11 9 | -1 0 2 0 -1 -1 0 1 2 -1 1 -1 -1 2 0 1 0 -1 -1 1 | -1026.0 78.0 122.0 | 49.0 13.0 47.0 1 1 1 
14 3 6 16 1 7 15 13 5 11 10 12 9 4 0 18 19 17 8 2 | -1 0 -1 0 -1 2 0 1 -1 -1 2 2 -1 1 0 1 0 -1 -1 -1 | -992.0 78.0 104.0 | 49.0 52.0 42.0 1 1 1 
2 6 8 11 17 16 13 18 15 14 1 12 5 19 4 7 9 0 10 3 | -1 2 0 -1 -1 2 0 -1 0 -1 -1 0 1 1 2 1 0 0 1 -1 | -1118.0 103.0 176.0 | 1.0 0.0 16.0 1 1 1 
11 16 4 2 13 8 9 15 6 17 19 10 14 0 3 18 7 5 12 1 | -1 -1 0 -1 0 -1 1 -1 0 1 2 0 -1 0 2 1 0 2 2 1 | -1132.0 101.0 194.0 | 1.0 1.0 1.0 1 1 1 
12 14 1 16 18 3 15 2 7 13 10 0 19 11 6 17 5 9 4 8 | 2 0 1 0 -1 -1 -1 1 -1 -1 2 -1 0 2 0 1 0 -1 0 1 | -1065.0 78.0 169.0 | 14.0 11.0 45.0 1 1 1 
5 16 15 11 6 3 1 13 14 4 0 2 12 8 17 7 9 19 10 18 | 2 1 -1 1 2 0 0 -1 -1 -1 -1 0 -1 1 2 0 0 -1 -1 -1 | -999.0 83.0 114.0 | 49.0 44.0 43.0 1 1 1 
14 6 5 0 15 17 18 1 16 8 10 3 7 12 4 19 9 11 2 13 | 0 1 -1 2 -1 0 0 -1 2 -1 2 -1 -1 -1 0 0 1 1 1 2 | -1082.0 111.0 140.0 | 50.0 0.0 3.0 1 1 1 
15 6 11 13 1 4 8 10 14 16 2 5 0 12 3 9 17 18 19 7 | -1 0 1 -1 1 2 0 -1 1 -1 1 0 -1 0 2 0 2 -1 -1 -1 | -1067.0 83.0 130.0 | 47.0 4.0 17.0 1 1 1 
3 8 13 14 2 6 7 17 1 15 19 4 0 10 11 9 16 5 18 12 | -1 1 0 0 2 -1 1 0 0 -1 2 -1 -1 0 0 2 -1 1 1 2 | -1131.0 107.0 190.0 | 2.0 1.0 1.0 1 1 1 
5 16 15 11 6 3 1 13 14 10 0 18 17 2 12 7 8 4 9 19 | 2 1 -1 1 -1 0 0 -1 -1 -1 2 0 -1 1 2 0 0 -1 -1 -1 | -1002.0 82.0 116.0 | 49.0 44.0 40.0 1 1 1 
3 1 16 6 8 0 14 19 7 2 15 18 5 13 11 9 17 10 12 4 | 1 0 2 0 -1 2 0 1 0 -1 -1 -1 -1 -1 1 2 0 -1 1 0 | -1088.0 93.0 153.0 | 9.0 2.0 36.0 1 1 1 
14 6 5 0 15 17 18 1 16 8 13 11 7 10 9 2 19 3 4 12 | 0 1 -1 -1 -1 0 0 -1 2 -1 -1 2 -1 2 0 0 1 1 1 -1 | -1050.0 106.0 122.0 | 50.0 0.0 35.0 1 1 1 
11 1 16 6 8 19 7 13 9 5 17 10 2 14 12 3 18 4 15 0 | -1 0 2 -1 -1 2 0 1 0 1 2 0 -1 1 -1 -1 0 1 2 0 | -1130.0 96.0 202.0 | 2.0 2.0 1.0 1 1 1 
11 3 1 16 18 6 10 7 8 2 13 15 0 9 12 17 19 14 4 5 | 2 0 1 0 -1 -1 0 1 1 -1 1 0 -1 2 -1 2 0 -1 0 -1 | -1104.0 79.0 162.0 | 3.0 1.0 27.0 1 1 1 
2 4 11 3 5 16 13 18 15 14 1 12 6 0 7 19 9 10 17 8 | -1 2 0 0 0 0 2 -1 -1 -1 -1 0 1 1 2 1 0 -1 1 -1 | -1120.0 101.0 181.0 | 1.0 0.0 14.0 1 1 1 
1 16 6 3 14 7 15 10 19 13 2 0 17 5 11 9 8 4 12 18 | 2 0 2 0 -1 -1 0 1 -1 -1 1 -1 -1 2 0 1 0 -1 -1 1 | -1030.0 74.0 127.0 | 49.0 13.0 43.0 1 1 1 
1 16 6 3 14 7 15 10 19 13 2 5 18 12 17 11 4 8 9 0 | -1 0 2 0 -1 2 0 1 -1 -1 1 -1 -1 2 0 1 0 -1 -1 1 | -1035.0 76.0 127.0 | 49.0 13.0 38.0 1 1 1 
