1 0 11 5 15 3 8 16 7 9 4 2 17 6 13 18 12 10 14 19 | 0 0 2 1 2 0 -1 2 1 2 -1 0 -1 -1 -1 0 1 -1 0 1 | -1133.0 100.0 193.0 | 2.0 0.0 0.0 1 1 1 
1 18 11 12 16 19 4 15 3 13 2 0 9 17 14 5 10 7 8 6 | 2 0 2 1 1 -1 -1 -1 -1 -1 -1 0 0 2 -1 1 0 -1 0 0 | -978.0 69.0 157.0 | 50.0 64.0 43.0 1 1 1 
1 3 6 16 15 13 5 11 0 14 7 10 18 9 12 19 4 2 17 8 | 2 0 -1 0 -1 1 0 2 -1 -1 -1 1 -1 1 2 0 0 -1 -1 -1 | -1002.0 82.0 104.0 | 52.0 41.0 40.0 1 1 1 
3 9 11 12 16 1 10 19 8 15 4 18 13 6 2 14 5 17 0 7 | -1 0 2 0 2 -1 -1 -1 1 0 1 0 0 2 -1 1 0 -1 2 1 | -1123.0 83.0 201.0 | 2.0 7.0 3.0 1 1 1 
11 5 15 14 13 18 16 1 0 7 9 12 8 2 3 4 19 6 10 17 | 2 1 -1 -1 -1 0 -1 2 -1 1 -1 0 2 0 0 0 1 -1 1 2 | -1080.0 111.0 144.0 | 47.0 1.0 7.0 1 1 1 
14 11 1 16 3 13 15 8 5 0 10 2 12 6 18 9 7 19 4 17 | 2 0 -1 0 -1 2 -1 -1 1 -1 2 0 -1 1 0 1 0 -1 -1 -1 | -991.0 72.0 111.0 | 52.0 46.0 46.0 1 1 1 
16 3 6 1 8 19 7 15 0 4 2 10 5 18 17 11 12 9 13 14 | 1 0 2 0 2 -1 0 1 0 2 2 -1 -1 -1 -1 1 0 -1 1 0 | -1121.0 94.0 178.0 | 9.0 5.0 0.0 1 1 1 
1 13 6 3 15 16 5 11 0 7 8 18 14 12 4 10 9 17 2 19 | 2 0 -1 0 -1 1 0 2 2 -1 -1 1 -1 0 -1 0 1 -1 0 2 | -1095.0 98.0 157.0 | 1.0 39.0 0.0 1 1 1 
14 1 16 3 11 19 7 15 10 5 0 13 12 6 17 9 2 18 8 4 | 2 0 -1 0 -1 2 -1 1 -1 -1 1 0 -1 2 0 1 0 -1 -1 1 | -1040.0 74.0 125.0 | 52.0 13.0 30.0 1 1 1 
11 6 15 16 1 13 5 3 0 14 8 18 19 9 2 7 17 4 12 10 | 2 0 -1 1 -1 1 0 -1 2 -1 -1 0 -1 1 2 0 0 -1 -1 -1 | -1008.0 82.0 118.0 | 45.0 48.0 34.0 1 1 1 
