-1135.0	105.0	212.0	
-1011.0	70.0	165.0	
-1008.0	93.0	109.0	
-969.0	72.0	152.0	
-1121.0	87.0	194.0	
-992.0	82.0	112.0	
-1084.0	100.0	149.0	
-1017.0	76.0	123.0	
-1004.0	83.0	115.0	
-1005.0	72.0	162.0	
-1081.0	94.0	147.0	
-1002.0	87.0	111.0	
-1134.0	96.0	182.0	
-1034.0	78.0	138.0	
-1081.0	98.0	145.0	
-1121.0	90.0	192.0	
-1030.0	79.0	124.0	
-1130.0	94.0	185.0	
-1023.0	75.0	138.0	
-1042.0	81.0	131.0	
-1059.0	77.0	153.0	
-1026.0	73.0	168.0	
-1111.0	84.0	170.0	
-1133.0	96.0	175.0	
-1116.0	83.0	174.0	
-1127.0	91.0	188.0	
-1044.0	79.0	141.0	
-1096.0	79.0	176.0	
-1092.0	80.0	171.0	
-1126.0	93.0	180.0	
-1116.0	86.0	164.0	
-1115.0	98.0	158.0	
-995.0	70.0	160.0	
-1079.0	90.0	153.0	
-1118.0	89.0	190.0	
-1039.0	79.0	126.0	
-1085.0	92.0	155.0	
-1031.0	80.0	123.0	
-1091.0	82.0	166.0	
-1010.0	73.0	142.0	
-1067.0	87.0	134.0	
-1075.0	86.0	142.0	
-1060.0	78.0	155.0	
-1108.0	81.0	171.0	
-1044.0	85.0	125.0	
-1049.0	78.0	150.0	
-1104.0	85.0	166.0	
-1101.0	83.0	160.0	
-1134.0	93.0	187.0	
-1056.0	87.0	128.0	
-1089.0	81.0	157.0	
-1033.0	74.0	154.0	
-1058.0	76.0	155.0	
-1110.0	97.0	155.0	
-1109.0	88.0	157.0	
-1115.0	85.0	172.0	
-1128.0	91.0	193.0	
-994.0	86.0	111.0	
-1037.0	76.0	152.0	
-1008.0	92.0	111.0	
-1126.0	89.0	193.0	
-1055.0	79.0	146.0	
-1082.0	79.0	168.0	
-1016.0	73.0	145.0	
-1059.0	85.0	135.0	
-1107.0	87.0	156.0	
-1058.0	82.0	129.0	
-1063.0	79.0	154.0	
-1071.0	82.0	142.0	
-1053.0	80.0	145.0	
-1102.0	85.0	156.0	
